year,mesh,age,density
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0.123382778
2020,largemesh,4,0.370148335
2020,largemesh,5,0.616913892
2020,largemesh,6,1.110445005
2020,largemesh,7,1.727358896
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.07746004
2020,largemesh,7,0.387300201
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.493531113
2020,largemesh,3,0
2020,largemesh,4,0.246765557
2020,largemesh,5,0
2020,largemesh,6,0.246765557
2020,largemesh,7,0.74029667
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.350732771
2020,largemesh,3,0.175366385
2020,largemesh,4,0.175366385
2020,largemesh,5,0.175366385
2020,largemesh,6,0.701465542
2020,largemesh,7,3.156594937
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,1.120999874
2020,largemesh,3,0.305727238
2020,largemesh,4,0.305727238
2020,largemesh,5,0.203818159
2020,largemesh,6,0.305727238
2020,largemesh,7,0.815272635
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.272025023
2020,largemesh,7,1.088100092
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0.135745296
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.067872648
2020,largemesh,7,0.475108537
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.163343631
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0.081671815
2020,largemesh,6,0.326687262
2020,largemesh,7,1.225077232
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0
2020,largemesh,4,0.093119078
2020,largemesh,5,0
2020,largemesh,6,0.186238156
2020,largemesh,7,0.931190779
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.712312947
2020,largemesh,3,0.356156473
2020,largemesh,4,0
2020,largemesh,5,0.118718824
2020,largemesh,6,0.356156473
2020,largemesh,7,1.187188245
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.469391005
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.093878201
2020,largemesh,7,0.187756402
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.098989049
2020,largemesh,3,0.098989049
2020,largemesh,4,0.296967146
2020,largemesh,5,0.197978097
2020,largemesh,6,0.296967146
2020,largemesh,7,1.385846679
2020,largemesh,0,0
2020,largemesh,1,0.074615935
2020,largemesh,2,0.223847805
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.074615935
2020,largemesh,7,0.373079675
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.191397108
2020,largemesh,3,0.095698554
2020,largemesh,4,0
2020,largemesh,5,0.095698554
2020,largemesh,6,0.382794215
2020,largemesh,7,1.818272523
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.619680322
2020,largemesh,3,0
2020,largemesh,4,0.15492008
2020,largemesh,5,0
2020,largemesh,6,0.309840161
2020,largemesh,7,2.168881125
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.976598669
2020,largemesh,3,0.122074834
2020,largemesh,4,0.122074834
2020,largemesh,5,0.122074834
2020,largemesh,6,0.488299335
2020,largemesh,7,1.831122505
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.082648751
2020,largemesh,3,0.165297502
2020,largemesh,4,0.082648751
2020,largemesh,5,0.165297502
2020,largemesh,6,0.578541257
2020,largemesh,7,1.487677519
2020,largemesh,0,0
2020,largemesh,1,0.065679045
2020,largemesh,2,0.065679045
2020,largemesh,3,0.065679045
2020,largemesh,4,0.065679045
2020,largemesh,5,0.065679045
2020,largemesh,6,0.262716182
2020,largemesh,7,1.313580909
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.268501383
2020,largemesh,7,1.163505993
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.082846949
2020,largemesh,7,0.331387798
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0.036909378
2020,largemesh,6,0.147637513
2020,largemesh,7,0.369093781
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.176711908
2020,largemesh,3,0.088355954
2020,largemesh,4,0.176711908
2020,largemesh,5,0.176711908
2020,largemesh,6,0.353423815
2020,largemesh,7,1.325339307
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.194814913
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0.064938304
2020,largemesh,6,0.259753218
2020,largemesh,7,1.03901287
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.205027762
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.102513881
2020,largemesh,7,0.410055524
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.649111903
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.144247089
2020,largemesh,7,0.576988358
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.324386647
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0.081096662
2020,largemesh,6,0.243289985
2020,largemesh,7,0.810966618
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.117908457
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0
2020,largemesh,7,0.117908457
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.071674643
2020,largemesh,3,0
2020,largemesh,4,0.071674643
2020,largemesh,5,0
2020,largemesh,6,0.071674643
2020,largemesh,7,0.215023929
2020,largemesh,0,0
2020,largemesh,1,0.08426141
2020,largemesh,2,0.337045638
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0.08426141
2020,largemesh,6,0.08426141
2020,largemesh,7,0.421307048
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.046247895
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.046247895
2020,largemesh,7,0.138743686
2020,largemesh,0,0
2020,largemesh,1,0.066951895
2020,largemesh,2,0.066951895
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0.066951895
2020,largemesh,6,0.267807581
2020,largemesh,7,1.071230324
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.762070101
2020,largemesh,3,0
2020,largemesh,4,0.127011684
2020,largemesh,5,0
2020,largemesh,6,0.127011684
2020,largemesh,7,0.254023367
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.356892334
2020,largemesh,3,0
2020,largemesh,4,0.2141354
2020,largemesh,5,0.249824634
2020,largemesh,6,0.356892334
2020,largemesh,7,0.999298535
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.15388498
2020,largemesh,3,0.307769959
2020,largemesh,4,0.384712449
2020,largemesh,5,0.307769959
2020,largemesh,6,0.230827469
2020,largemesh,7,0.846367388
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.584307449
2020,largemesh,3,0
2020,largemesh,4,0.073038431
2020,largemesh,5,0.073038431
2020,largemesh,6,0.219115293
2020,largemesh,7,1.168614899
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0.186741502
2020,largemesh,3,0
2020,largemesh,4,0.062247167
2020,largemesh,5,0.062247167
2020,largemesh,6,0.24898867
2020,largemesh,7,1.244943349
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0.108638924
2020,largemesh,7,0.434555697
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0.117109078
2020,largemesh,6,0
2020,largemesh,7,0
2020,largemesh,0,0
2020,largemesh,1,0
2020,largemesh,2,0
2020,largemesh,3,0
2020,largemesh,4,0
2020,largemesh,5,0
2020,largemesh,6,0
2020,largemesh,7,0.539799655
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.193050193
2021,largemesh,3,0.482625483
2021,largemesh,4,0.28957529
2021,largemesh,5,0.096525097
2021,largemesh,6,0.337837838
2021,largemesh,7,1.447876448
2021,largemesh,0,0
2021,largemesh,1,0.413650465
2021,largemesh,2,0.103412616
2021,largemesh,3,0.103412616
2021,largemesh,4,0.103412616
2021,largemesh,5,0.206825233
2021,largemesh,6,0.517063082
2021,largemesh,7,1.551189245
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.158478605
2021,largemesh,3,0.475435816
2021,largemesh,4,0.633914422
2021,largemesh,5,0.475435816
2021,largemesh,6,0.792393027
2021,largemesh,7,2.218700475
2021,largemesh,0,0
2021,largemesh,1,0.301659125
2021,largemesh,2,0
2021,largemesh,3,0.301659125
2021,largemesh,4,0
2021,largemesh,5,0.301659125
2021,largemesh,6,1.055806938
2021,largemesh,7,2.564102564
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.559440559
2021,largemesh,3,0.13986014
2021,largemesh,4,0.13986014
2021,largemesh,5,0.27972028
2021,largemesh,6,0.699300699
2021,largemesh,7,2.237762238
2021,largemesh,0,0
2021,largemesh,1,0.189753321
2021,largemesh,2,0.189753321
2021,largemesh,3,0
2021,largemesh,4,0
2021,largemesh,5,0.189753321
2021,largemesh,6,1.138519924
2021,largemesh,7,3.984819734
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.123762376
2021,largemesh,3,0.123762376
2021,largemesh,4,0
2021,largemesh,5,0.123762376
2021,largemesh,6,0.618811881
2021,largemesh,7,2.846534653
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.093370682
2021,largemesh,3,0.280112045
2021,largemesh,4,0.093370682
2021,largemesh,5,0.186741363
2021,largemesh,6,0.56022409
2021,largemesh,7,1.493930906
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.119189511
2021,largemesh,3,0.119189511
2021,largemesh,4,0
2021,largemesh,5,0.238379023
2021,largemesh,6,0.595947557
2021,largemesh,7,2.502979738
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.161550889
2021,largemesh,3,0
2021,largemesh,4,0
2021,largemesh,5,0
2021,largemesh,6,0.646203554
2021,largemesh,7,4.038772213
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0.167364017
2021,largemesh,4,0.167364017
2021,largemesh,5,0.083682008
2021,largemesh,6,0.167364017
2021,largemesh,7,0.251046025
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.332225914
2021,largemesh,3,0.49833887
2021,largemesh,4,0.166112957
2021,largemesh,5,0.166112957
2021,largemesh,6,0.49833887
2021,largemesh,7,3.488372093
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.158478605
2021,largemesh,3,0.316957211
2021,largemesh,4,0.158478605
2021,largemesh,5,0.158478605
2021,largemesh,6,0.396196513
2021,largemesh,7,1.069730586
2021,largemesh,0,0
2021,largemesh,1,0.554528651
2021,largemesh,2,0
2021,largemesh,3,0
2021,largemesh,4,0
2021,largemesh,5,0.184842884
2021,largemesh,6,0.924214418
2021,largemesh,7,3.696857671
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.110375276
2021,largemesh,3,0.110375276
2021,largemesh,4,0.220750552
2021,largemesh,5,0.220750552
2021,largemesh,6,0.55187638
2021,largemesh,7,2.097130243
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.154320988
2021,largemesh,3,0.308641975
2021,largemesh,4,0.462962963
2021,largemesh,5,0.308641975
2021,largemesh,6,0.771604938
2021,largemesh,7,2.777777778
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.114416476
2021,largemesh,3,0
2021,largemesh,4,0.114416476
2021,largemesh,5,0.114416476
2021,largemesh,6,0.514874142
2021,largemesh,7,2.631578947
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.218579235
2021,largemesh,3,0.218579235
2021,largemesh,4,0
2021,largemesh,5,0.109289617
2021,largemesh,6,0.43715847
2021,largemesh,7,2.295081967
2021,largemesh,0,0
2021,largemesh,1,0.053966541
2021,largemesh,2,0
2021,largemesh,3,0.053966541
2021,largemesh,4,0
2021,largemesh,5,0.053966541
2021,largemesh,6,0.215866163
2021,largemesh,7,1.025364274
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0
2021,largemesh,4,0.076745971
2021,largemesh,5,0
2021,largemesh,6,0.153491942
2021,largemesh,7,0.690713738
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0
2021,largemesh,4,0
2021,largemesh,5,0.179856115
2021,largemesh,6,0.71942446
2021,largemesh,7,2.158273381
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0.135501355
2021,largemesh,4,0.135501355
2021,largemesh,5,0.27100271
2021,largemesh,6,0.81300813
2021,largemesh,7,2.845528455
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.08
2021,largemesh,3,0.32
2021,largemesh,4,0.08
2021,largemesh,5,0.08
2021,largemesh,6,0.24
2021,largemesh,7,1.52
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0
2021,largemesh,4,0.381679389
2021,largemesh,5,0.381679389
2021,largemesh,6,0.954198473
2021,largemesh,7,4.007633588
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0
2021,largemesh,4,0
2021,largemesh,5,0
2021,largemesh,6,0.284495021
2021,largemesh,7,1.137980085
2021,largemesh,0,0
2021,largemesh,1,0.863557858
2021,largemesh,2,1.381692573
2021,largemesh,3,1.03626943
2021,largemesh,4,0
2021,largemesh,5,0
2021,largemesh,6,0.172711572
2021,largemesh,7,1.727115717
2021,largemesh,0,0
2021,largemesh,1,0.81799591
2021,largemesh,2,0.408997955
2021,largemesh,3,0
2021,largemesh,4,0.204498978
2021,largemesh,5,0
2021,largemesh,6,0.613496933
2021,largemesh,7,4.08997955
2021,largemesh,0,0
2021,largemesh,1,0.200803213
2021,largemesh,2,0.401606426
2021,largemesh,3,0.200803213
2021,largemesh,4,0
2021,largemesh,5,0
2021,largemesh,6,0.401606426
2021,largemesh,7,4.819277108
2021,largemesh,0,0
2021,largemesh,1,0.892857143
2021,largemesh,2,0.297619048
2021,largemesh,3,0
2021,largemesh,4,0
2021,largemesh,5,0
2021,largemesh,6,0.297619048
2021,largemesh,7,2.976190476
2021,largemesh,0,0
2021,largemesh,1,0.134138162
2021,largemesh,2,0.134138162
2021,largemesh,3,0.067069081
2021,largemesh,4,0
2021,largemesh,5,0.067069081
2021,largemesh,6,0.268276325
2021,largemesh,7,1.341381623
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0.080128205
2021,largemesh,4,0
2021,largemesh,5,0
2021,largemesh,6,0.080128205
2021,largemesh,7,0.641025641
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0.12345679
2021,largemesh,4,0.308641975
2021,largemesh,5,0.37037037
2021,largemesh,6,0.740740741
2021,largemesh,7,2.222222222
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.242424242
2021,largemesh,3,0.363636364
2021,largemesh,4,0.242424242
2021,largemesh,5,0.121212121
2021,largemesh,6,0.606060606
2021,largemesh,7,2.060606061
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.119331742
2021,largemesh,3,0.178997613
2021,largemesh,4,0
2021,largemesh,5,0.059665871
2021,largemesh,6,0.298329356
2021,largemesh,7,1.133651551
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0.043572985
2021,largemesh,4,0.043572985
2021,largemesh,5,0.087145969
2021,largemesh,6,0.217864924
2021,largemesh,7,0.91503268
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0.155520995
2021,largemesh,4,0.311041991
2021,largemesh,5,0.155520995
2021,largemesh,6,0.855365474
2021,largemesh,7,2.954898911
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0.15503876
2021,largemesh,4,0.15503876
2021,largemesh,5,0
2021,largemesh,6,0.620155039
2021,largemesh,7,3.720930233
2020,smallmesh,0,0
2020,smallmesh,1,0
2020,smallmesh,2,0.212132783
2020,smallmesh,3,0
2020,smallmesh,4,0.212132783
2020,smallmesh,5,0.424265566
2020,smallmesh,6,1.060663915
2020,smallmesh,7,4.24265566
2020,smallmesh,0,0
2020,smallmesh,1,0
2020,smallmesh,2,0.66693344
2020,smallmesh,3,0.133386688
2020,smallmesh,4,0.133386688
2020,smallmesh,5,0.133386688
2020,smallmesh,6,0.400160064
2020,smallmesh,7,1.33386688
2020,smallmesh,0,0
2020,smallmesh,1,0
2020,smallmesh,2,1.946969022
2020,smallmesh,3,1.081649456
2020,smallmesh,4,1.081649456
2020,smallmesh,5,0.865319565
2020,smallmesh,6,0.865319565
2020,smallmesh,7,0.865319565
2020,smallmesh,0,0
2020,smallmesh,1,0
2020,smallmesh,2,0.11515726
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0
2020,smallmesh,6,0
2020,smallmesh,7,0.23031452
2020,smallmesh,0,0
2020,smallmesh,1,0.072123545
2020,smallmesh,2,0
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0
2020,smallmesh,6,0.216370634
2020,smallmesh,7,0.937606082
2020,smallmesh,0,0
2020,smallmesh,1,1.394280723
2020,smallmesh,2,2.943481527
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0
2020,smallmesh,6,0
2020,smallmesh,7,0.309840161
2020,smallmesh,0,0
2020,smallmesh,1,0
2020,smallmesh,2,0.073818756
2020,smallmesh,3,0
2020,smallmesh,4,0.073818756
2020,smallmesh,5,0.073818756
2020,smallmesh,6,0.147637513
2020,smallmesh,7,0.369093781
2020,smallmesh,0,0
2020,smallmesh,1,0.356156474
2020,smallmesh,2,0.178078237
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0
2020,smallmesh,6,0.178078237
2020,smallmesh,7,1.068469421
2020,smallmesh,0,0
2020,smallmesh,1,0.203218694
2020,smallmesh,2,0.101609347
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0
2020,smallmesh,6,0.101609347
2020,smallmesh,7,0.812874775
2020,smallmesh,0,0
2020,smallmesh,1,0.141008889
2020,smallmesh,2,0.211513334
2020,smallmesh,3,0
2020,smallmesh,4,0
2020,smallmesh,5,0.070504445
2020,smallmesh,6,0.070504445
2020,smallmesh,7,0.282017779
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0.110011001
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0
2021,smallmesh,6,0.110011001
2021,smallmesh,7,0.880088009
2021,smallmesh,0,0
2021,smallmesh,1,0.226283725
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0.226283725
2021,smallmesh,6,0.565709312
2021,smallmesh,7,2.375979112
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0
2021,smallmesh,6,0
2021,smallmesh,7,0.12254902
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0
2021,smallmesh,6,0
2021,smallmesh,7,0.100704935
2021,smallmesh,0,0
2021,smallmesh,1,0.211193242
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0.105596621
2021,smallmesh,5,0
2021,smallmesh,6,0.105596621
2021,smallmesh,7,0.263991552
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0
2021,smallmesh,6,0
2021,smallmesh,7,0.475435816
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0
2021,smallmesh,3,0
2021,smallmesh,4,0
2021,smallmesh,5,0.130378096
2021,smallmesh,6,0.130378096
2021,smallmesh,7,0.521512386
2021,smallmesh,0,0
2021,smallmesh,1,0
2021,smallmesh,2,0
2021,smallmesh,3,0.096805421
2021,smallmesh,4,0
2021,smallmesh,5,0.096805421
2021,smallmesh,6,0.193610842
2021,smallmesh,7,0.774443369
